"","trial_type","trial_num","number_targets","number_pairs","response_pairs"
"1","image-keyboard-response",1,"2_R.png","2_R.png","m"
"2","image-keyboard-response",2,"7_R.png","1_R.png","z"
"3","image-keyboard-response",3,"5_R.png","1_R.png","m"
"4","image-keyboard-response",4,"12_R.png","4_R.png","z"
"5","image-keyboard-response",5,"4.png","2.png","m"
"6","image-keyboard-response",6,"9.png","3.png","m"
"7","image-keyboard-response",7,"4_R.png","2_R.png","z"
"8","image-keyboard-response",8,"2.png","2.png","m"
"9","image-keyboard-response",9,"10_R.png","4_R.png","m"
"10","image-keyboard-response",10,"8_R.png","2_R.png","z"
"11","image-keyboard-response",11,"1_R.png","1_R.png","m"
"12","image-keyboard-response",12,"3_R.png","1_R.png","z"
"13","image-keyboard-response",13,"11_R.png","3_R.png","m"
"14","image-keyboard-response",14,"8.png","2.png","m"
"15","image-keyboard-response",15,"10.png","4.png","z"
"16","image-keyboard-response",16,"3.png","1.png","m"
"17","image-keyboard-response",17,"5.png","1.png","z"
"18","image-keyboard-response",18,"1.png","1.png","z"
"19","image-keyboard-response",19,"7.png","1.png","m"
"20","image-keyboard-response",20,"6_R.png","2_R.png","m"
"21","image-keyboard-response",21,"6.png","2.png","z"
"22","image-keyboard-response",22,"9_R.png","3_R.png","z"
"23","image-keyboard-response",23,"12.png","4.png","m"
"24","image-keyboard-response",24,"11.png","3.png","z"
